msg,artist,album,year
"UFO - Flying","UFO","Flying - One Hour Space Rock","1971"
"UFO - UFO1","UFO","UFO1","1970"
"Kyuss-BluesfortheRedSun","Kyuss","Blues For The Red Sun","1992"
"Kyuss-WelcomeToSkyValley","Kyuss","Welcome To Sky Valley","1994"
"Motorpsycho-Unicorn","Motorpsycho","The Death Defying Unicorn","2012"
"VA-SOMEWHERE-2015","VA","SOMEWHERE","2015"
"AtTheDriveIn-RelCommand","At The Drive In","Relationship Of Command","2000"
"DepecheMode-Violator","Depeche Mode","Violator","1990"
"DrJohn-GrisGris","Dr. John","Gris Gris","1968"
"FrankZappaSheikYerbouti","Frank Zappa","Sheik Yerbouti","1979"
